1.839299686253070831e-02,-1.029647607356309891e-02,8.112130761146545410e-01,-4.956248216331005096e-03,6.110793352127075195e-02,8.077015280723571777e-01,5.863953828811645508e-01,1.096317246556282043e-01,2.318856418132781982e-01,6.191785931587219238e-01,1.935064643621444702e-01,5.669119209051132202e-02,-8.128697425127029419e-02,-3.420579433441162109e-02,-3.524696528911590576e-01,-7.795697450637817383e-01,7.635453343391418457e-02,-8.198481053113937378e-03,1.189532205462455750e-01,5.558490380644798279e-02,5.227845534682273865e-02,1.039082705974578857e-01,1.108365729451179504e-01,6.803219318389892578e-01,-4.859163165092468262e-01,4.961104393005371094e-01,1.577408909797668457e-01,-9.632816165685653687e-02,-1.579100042581558228e-01,-1.872275024652481079e-01,-9.819083213806152344e-01,6.922975182533264160e-01,2.948534488677978516e-01,-4.199881851673126221e-01,-1.659732758998870850e-01,2.630663216114044189e-01
2.713285572826862335e-02,5.635344889014959335e-03,8.127378821372985840e-01,-1.451578107662498951e-03,5.775306001305580139e-02,8.102818727493286133e-01,5.831858515739440918e-01,7.121392339468002319e-02,2.442267537117004395e-01,5.581067800521850586e-01,2.582103013992309570e-01,6.573518365621566772e-02,-7.360693812370300293e-02,1.262332126498222351e-02,-3.202205896377563477e-01,-8.038222193717956543e-01,4.790697246789932251e-02,-3.459751605987548828e-02,1.196872815489768982e-01,1.795355230569839478e-02,1.225826963782310486e-01,1.069309636950492859e-01,6.716259568929672241e-02,5.764219164848327637e-01,-5.498784780502319336e-01,6.582499742507934570e-01,1.529366672039031982e-01,-1.438617706298828125e-01,-1.552406102418899536e-01,-1.902024894952774048e-01,-1.054376244544982910e+00,7.021036744117736816e-01,3.569813370704650879e-01,-4.257625043392181396e-01,-2.192516028881072998e-01,2.325794249773025513e-01
3.851010277867317200e-02,1.848171651363372803e-02,8.141036033630371094e-01,4.609865136444568634e-03,5.915364623069763184e-02,7.989381551742553711e-01,5.984792709350585938e-01,5.499260127544403076e-02,2.305581867694854736e-01,5.466623306274414062e-01,2.795026004314422607e-01,5.385065078735351562e-02,-5.814729630947113037e-02,2.533369138836860657e-02,-2.979363799095153809e-01,-7.757861018180847168e-01,3.747672215104103088e-02,-5.884185805916786194e-02,1.181884855031967163e-01,2.044423855841159821e-02,1.365060359239578247e-01,1.157803460955619812e-01,8.574213832616806030e-02,5.505263805389404297e-01,-5.544814467430114746e-01,7.280709147453308105e-01,1.659027636051177979e-01,-1.436277031898498535e-01,-1.636193990707397461e-01,-1.941525340080261230e-01,-1.086842656135559082e+00,6.866244077682495117e-01,3.804815709590911865e-01,-4.234618544578552246e-01,-2.252690196037292480e-01,2.276210784912109375e-01
5.014000833034515381e-02,2.793496660888195038e-02,8.155034184455871582e-01,1.198874227702617645e-02,5.859815329313278198e-02,7.821221947669982910e-01,6.202478408813476562e-01,3.508085757493972778e-02,2.081451117992401123e-01,5.243728160858154297e-01,2.889232337474822998e-01,4.309000447392463684e-02,-4.683519154787063599e-02,3.117180988192558289e-02,-2.771444916725158691e-01,-7.319743633270263672e-01,3.335339948534965515e-02,-7.363428175449371338e-02,1.173159927129745483e-01,2.831134758889675140e-02,1.455432325601577759e-01,1.331564188003540039e-01,1.130000054836273193e-01,5.321536064147949219e-01,-5.527570247650146484e-01,7.854063510894775391e-01,1.879857331514358521e-01,-1.418865770101547241e-01,-1.754310578107833862e-01,-1.986760795116424561e-01,-1.106083035469055176e+00,6.617319583892822266e-01,4.203055799007415771e-01,-4.250407218933105469e-01,-2.181067466735839844e-01,2.134913951158523560e-01
6.292737275362014771e-02,3.761175274848937988e-02,8.167291879653930664e-01,1.975784637033939362e-02,5.718935281038284302e-02,7.625640034675598145e-01,6.440770030021667480e-01,5.395608488470315933e-03,1.812572479248046875e-01,4.916162192821502686e-01,2.847436964511871338e-01,2.976544760167598724e-02,-3.825212642550468445e-02,3.878849744796752930e-02,-2.535659074783325195e-01,-6.771086454391479492e-01,2.796180360019207001e-02,-8.477468043565750122e-02,1.179811656475067139e-01,4.755223542451858521e-02,1.532315760850906372e-01,1.513270735740661621e-01,1.407266110181808472e-01,5.131947994232177734e-01,-5.418739914894104004e-01,8.336009383201599121e-01,2.088489234447479248e-01,-1.405937671661376953e-01,-1.780557036399841309e-01,-2.036371380090713501e-01,-1.110432028770446777e+00,6.263157129287719727e-01,4.857738316059112549e-01,-4.169896245002746582e-01,-2.019753456115722656e-01,1.867481768131256104e-01
7.759135961532592773e-02,5.143455043435096741e-02,8.176170587539672852e-01,2.543420158326625824e-02,5.552105605602264404e-02,7.398704886436462402e-01,6.699717640876770020e-01,-3.106379136443138123e-02,1.537231355905532837e-01,4.472214877605438232e-01,2.699834108352661133e-01,1.853610016405582428e-02,-2.773363329470157623e-02,5.100477859377861023e-02,-2.218307554721832275e-01,-6.133629083633422852e-01,1.813262328505516052e-02,-9.448124468326568604e-02,1.143426746129989624e-01,6.894476711750030518e-02,1.619152575731277466e-01,1.683380305767059326e-01,1.662151962518692017e-01,4.909782409667968750e-01,-5.336983203887939453e-01,8.834688663482666016e-01,2.329969853162765503e-01,-1.400365382432937622e-01,-1.726907491683959961e-01,-2.098978906869888306e-01,-1.087884664535522461e+00,5.771435499191284180e-01,5.771281719207763672e-01,-3.947689235210418701e-01,-1.768401563167572021e-01,1.450464427471160889e-01
8.985206484794616699e-02,5.999865010380744934e-02,8.179769515991210938e-01,3.020924888551235199e-02,5.213030427694320679e-02,7.174460887908935547e-01,6.940035820007324219e-01,-6.845495104789733887e-02,1.324581652879714966e-01,3.973131179809570312e-01,2.493831217288970947e-01,1.239803619682788849e-02,-1.778547093272209167e-02,6.140899658203125000e-02,-1.924445480108261108e-01,-5.515390038490295410e-01,7.433541119098663330e-03,-9.653031080961227417e-02,1.061010137200355530e-01,9.141276776790618896e-02,1.676237434148788452e-01,1.853001862764358521e-01,1.802843660116195679e-01,4.693487286567687988e-01,-5.318430066108703613e-01,9.307618737220764160e-01,2.607535421848297119e-01,-1.445361524820327759e-01,-1.608799993991851807e-01,-2.181483507156372070e-01,-1.037822127342224121e+00,5.156564116477966309e-01,6.918086409568786621e-01,-3.681097626686096191e-01,-1.491773128509521484e-01,7.919277995824813843e-02
1.037552356719970703e-01,7.064633071422576904e-02,8.178402781486511230e-01,3.286468237638473511e-02,4.908421635627746582e-02,6.947042942047119141e-01,7.168657779693603516e-01,-9.812714159488677979e-02,1.163865923881530762e-01,3.592797517776489258e-01,2.245605736970901489e-01,4.431308247148990631e-03,-6.335082929581403732e-03,7.375925034284591675e-02,-1.600215882062911987e-01,-4.904401004314422607e-01,-2.469448372721672058e-03,-9.833381325006484985e-02,9.667991101741790771e-02,1.055634915828704834e-01,1.694767624139785767e-01,2.001063674688339233e-01,1.868975609540939331e-01,4.441255331039428711e-01,-5.425301790237426758e-01,9.733664989471435547e-01,2.956810593605041504e-01,-1.474346816539764404e-01,-1.401327997446060181e-01,-2.358906716108322144e-01,-9.559425115585327148e-01,4.407653212547302246e-01,8.270192146301269531e-01,-3.375633955001831055e-01,-1.131664440035820007e-01,-7.067458704113960266e-03
1.121195703744888306e-01,7.656309753656387329e-02,8.170095086097717285e-01,3.571448475122451782e-02,4.422796517610549927e-02,6.754618883132934570e-01,7.352003455162048340e-01,-1.277245432138442993e-01,1.074225679039955139e-01,3.271875381469726562e-01,2.116911709308624268e-01,6.920562125742435455e-03,-5.239182151854038239e-03,8.737741410732269287e-02,-1.360780894756317139e-01,-4.362244307994842529e-01,-1.218308135867118835e-02,-1.013786941766738892e-01,8.905746787786483765e-02,1.271651238203048706e-01,1.638665497303009033e-01,2.168935388326644897e-01,1.802603900432586670e-01,4.308322072029113770e-01,-5.484216213226318359e-01,1.003158330917358398e+00,3.039809763431549072e-01,-1.490075290203094482e-01,-1.253372579813003540e-01,-2.508459985256195068e-01,-8.954665660858154297e-01,4.019290506839752197e-01,9.096212983131408691e-01,-3.078937232494354248e-01,-1.024983897805213928e-01,-6.356591731309890747e-02
1.216421723365783691e-01,8.652910590171813965e-02,8.154200911521911621e-01,3.535935282707214355e-02,3.788024187088012695e-02,6.520088315010070801e-01,7.564385533332824707e-01,-1.585577726364135742e-01,1.001018285751342773e-01,2.940984666347503662e-01,1.847537457942962646e-01,1.393182482570409775e-02,-4.094332456588745117e-03,1.021883934736251831e-01,-1.045911759138107300e-01,-3.741999864578247070e-01,-1.573328860104084015e-02,-1.084600314497947693e-01,7.754556834697723389e-02,1.322051286697387695e-01,1.631916910409927368e-01,2.334680706262588501e-01,1.693791449069976807e-01,4.020476639270782471e-01,-5.431796908378601074e-01,1.028228044509887695e+00,2.917285859584808350e-01,-1.498993933200836182e-01,-1.121927648782730103e-01,-2.664951682090759277e-01,-8.134950399398803711e-01,3.394742310047149658e-01,9.878941774368286133e-01,-2.524232268333435059e-01,-8.781242370605468750e-02,-1.301431059837341309e-01
